branch,beta,u0,v0,u_min,u_max,mu1_real,mu1_imag,mu1_abs,mu2_real,mu2_imag,mu2_abs,shooting_residual,liouville_defect,newton_iterations
minus,0.24,-2.0289047748424482,0.43133709737565457,-2.2397752697939324,-1.1706083916455388,0.12309930405477568,0.30943147821360883,0.3330184354780215,0.12309930405477568,-0.30943147821360883,0.3330184354780215,8.881784197001252e-16,4.033967604399891e-12,4
minus,0.25,-2.0403376091767647,0.4467857893530946,-2.2576437828048688,-1.1480874258895983,0.11632079754031549,0.31204286633062933,0.3330184354780529,0.11632079754031549,-0.31204286633062933,0.3330184354780529,1.9984014443252818e-15,4.0548536750506514e-12,4
minus,0.26,-2.051693096352996,0.4619169155157585,-2.2751583940702904,-1.1257203559852096,0.10912238683600788,0.3146324570979035,0.33301843547805493,0.10912238683600788,-0.3146324570979035,0.33301843547805493,9.992007221626409e-16,4.056227576043625e-12,4
minus,0.27,-2.0629676894752578,0.4767197689326566,-2.292309832892743,-1.1035156848272474,0.10148748684651078,0.31717750295679153,0.3330184354781672,0.10148748684651078,-0.31717750295679153,0.3330184354781672,8.881784197001252e-16,4.131042730115553e-12,4
minus,0.28,-2.0741573772094646,0.4911842740266464,-2.3090929827732984,-1.0814816569796826,0.09339909785697564,0.3196527598624309,0.3330184354779264,0.09339909785697564,-0.3196527598624309,0.3330184354779264,1.3322676295501878e-15,3.970587747481602e-12,4
minus,0.29,-2.0852577067977007,0.505301032131706,-2.3255001368262773,-1.059626232506452,0.08483985855279441,0.3220302420099082,0.333018435478005,0.08483985855279441,-0.3220302420099082,0.333018435478005,4.440892098500626e-16,4.0229902742439094e-12,4
minus,0.3,-2.0962638114431402,0.5190613646996074,-2.3415207227267802,-1.037955061034971,0.07579210374045764,0.3242789468630402,0.33301843547768756,0.07579210374045764,-0.3242789468630402,0.33301843547768756,1.7763568394002505e-15,3.811562176991856e-12,4
minus,0.31,-2.107170441890065,0.5324573533317873,-2.3571479822899994,-1.0164770656987945,0.06623792651427121,0.32636454381429664,0.33301843547771337,0.06623792651427121,-0.32636454381429664,0.33301843547771337,8.881784197001252e-16,3.828701244934507e-12,4
minus,0.32,-2.117972001884129,0.5454818758634095,-2.372375718392005,-0.9951999510278284,0.0561592445138618,0.3282490177039665,0.3330184354776573,0.0561592445138618,-0.3282490177039665,0.3330184354776573,8.881784197001252e-16,3.791467140246141e-12,4
minus,0.33,-2.1286625871528426,0.5581286377603316,-2.3872005421574647,-0.9741302717864614,0.045537869850387845,0.3298902556569263,0.3330184354775319,0.045537869850387845,-0.3298902556569263,0.3330184354775319,2.1094237467877974e-15,3.70778407976502e-12,4
